uuid,status_code,url,updated_status_code
01282fc6e8731f058ba81a8424da496696de31f1,403,https://www.indeed.com/viewjob?jk=a84b7b17fff1de4d,403
012cdd0c4c83cc76ee171266de35649a00cacadb,403,"https://www.simplyhired.com/job/V8uCrAl48mlwp_U579e7r8oaT3g8yNwmPgKVj4OfSUS6ejQhvfas_A,https://www.indeed.com/viewjob?jk=8f9db08f26a3b6f9",403
014323e1d9be01db5d947dfd70254843e6ad7fb2,403,"https://www.indeed.com/viewjob?jk=5147164d8be993d1,https://www.indeed.com/viewjob?jk=c07155f890f6bea6,https://www.simplyhired.com/job/8vArFegbfG43GnwmqfrVzRMAHzrKGEzxsDwi61B_kPPNDS0KSWbdog,https://www.indeed.com/viewjob?jk=e15529d403a6e832",403
012f3e8c26a87b323935f77fde74826efb303f5a,403,"http://www.arkansasjobboard.com/career/22954943/Certified-Pharmacy-Technician-State-San-Antonio,http://www.arkansasjobboard.com/career/22672414/Certified-Pharmacy-Technician-State-San-Antonio",403
00f1dc585f0c0da63f69e63863ef57c297b98c64,500,"https://www.careerjet.com/jobad/use41a26845959a6c0b66a439b1c4d7c55,https://careers-tdindustries.icims.com/jobs/8881/service-journeyman-electrician/job",500
0145a634f1eb3edc3755bbc8132ee83e1bc8a11b,403,"https://www.indeed.com/viewjob?jk=3d499e7d9bc7462f,https://www.simplyhired.com/job/18DVibYDnEPqtkgweBDQrLk6YzsbJZfjFqBPpYMbasmbPaQ51uk2hA,https://www.simplyhired.com/job/FHQS7Odw5lY60Tyhww7Vray4oKpjy21ktUkYVIx5xEzygy-SNk9fkQ",403
016fec4b4200a6a779528ea97464d31cf8627cd8,403,https://www.indeed.com/viewjob?jk=4c36ad71fc0e1ad6,403
0175b96bc7089b05f66af77de621ba15a7a05a8e,403,"https://www.simplyhired.com/job/1sEX3fHS-F3OHfoYsyILFofCpM9BAXU3dyITVZrPYcIY60xxydvXtg,https://www.simplyhired.com/job/xdaWp0B9LOxwBkH3mui9mYYVj5TmAbnZK3MrmS-O0SamqoK1HEviGw,https://www.indeed.com/viewjob?jk=89841e4913292e61,https://www.indeed.com/viewjob?jk=91010cf3adddfdba,https://www.simplyhired.com/job/J0OURFhdeeAkELr5elnb5RIajspE07JjWDHEftn7MsIAJlWuZQj4fg,https://www.indeed.com/viewjob?jk=487c6d9e87c09099",403
017dc5fcf2fcb80b0424428d2ba2ffa0bc76c71e,403,"https://www.simplyhired.com/job/ztnkNNMpC8PlQ6Fa4SG1RrTyh4oGCkBwVU3LY3bLUFO2lryMZAivow,https://www.indeed.com/viewjob?jk=abbe3aa4e8d46378,https://www.simplyhired.com/job/YpJ-Cye08HpVt5UIeGPKWxu5EIM0GqXE7N5B6He2P1ubM5B_Cyy9mg,https://www.indeed.com/viewjob?jk=a074595c4f8c5185,https://www.indeed.com/viewjob?jk=764add7fe9dbf077",403
018e9f1bb7d1c064ac26386df0d378787489f160,403,"https://www.indeed.com/viewjob?jk=6c31309e93232261&bb=uBB-pGlxc4GRn1twqXFS8QwO-_lRUgIv0D-Go1SC1Foo2pooEqdkkaCMPAm9TFSK3WEK6lUo7g3Gexf__h37F9fpkzDX2UuxN49-TFMz6GY%3D&xkcb=SoDZ67M3Hn_BjtwSDx0AbzkdCdPP&fccid=06199031aa0e6273&vjs=3,https://www.simplyhired.com/job/IchW6Af3zl2GdS8P7EIaJ3DTWfd6-SXUnrJFnVo1sJ9D9Q8lOvWg1w,https://www.indeed.com/viewjob?jk=6c31309e93232261&bb=HPHfBNNZTH_S90C6eV4dAQjMbwqc_GyAgnbcTD7wtmceyzcmPI4Xjvh3s0TAHz9J&xkcb=SoDv67M3Hn_chaSUzh0IbzkdCdPP&fccid=06199031aa0e6273&vjs=3,https://www.indeed.com/viewjob?jk=6c31309e93232261&bb=cH1G06vKaZ3GQRZVdow-f1Se1DxhBRlximC8faku911-nnsSJ4MAd8wnLD_L1xGow3koCknHPHthMlf8wUihT6rcO1-GZ20ityk0rPPrjR4%3D&xkcb=SoDR67M3HrjDFi2C7Z0abzkdCdPP&fccid=06199031aa0e6273&vjs=3,https://www.indeed.com/viewjob?jk=6c31309e93232261&bb=Vk_EayvgM2vKSPxrl_LX9RBaJJGYrLTo4fDDUjCZM3cFOur9pi11d8g2cxsnbH0LNfMAK-bbMgIvHZ8jlCn7uXFuSGwL5qfUil2rlioYrOo%3D&xkcb=SoB_67M3HrjAQkgXRz0cbzkdCdPP&fccid=06199031aa0e6273&vjs=3,https://www.indeed.com/viewjob?jk=6c31309e93232261&bb=xLOB-YzYKo1JSJmV8ypFeMwu6cvaOSKPaPAPWksZeDPis9GcqONm1Tp8v4Xb1sEKxf_EzsGzhUWFAN1AKmymvVv-L3ERGDjVcC16Fq_e878%3D&xkcb=SoAi67M3Hn8Nrz2Q8p0IbzkdCdPP&fccid=06199031aa0e6273&vjs=3",403
